Date,Open,High,Low,Close,Adj Close,Volume
2020-04-16,279.149994,280.029999,275.760010,279.100006,276.769287,131798300
2020-04-17,285.380005,287.299988,282.399994,286.640015,284.246307,146684800
2020-04-20,282.609985,286.790009,281.350006,281.589996,279.238464,100109300
2020-04-21,276.730011,278.040009,272.019989,273.040009,270.759888,126385700
2020-04-22,278.350006,281.000000,276.910004,279.100006,276.769287,93524600
2020-04-23,280.489990,283.940002,278.750000,279.079987,276.749420,104709700
2020-04-24,280.730011,283.700012,278.500000,282.970001,280.606964,85166000
2020-04-27,285.119995,288.269989,284.619995,287.049988,284.652893,77896600
2020-04-28,291.019989,291.399994,285.399994,285.730011,283.343903,105270000
2020-04-29,291.529999,294.880005,290.410004,293.209991,290.761444,118745600
2020-04-30,291.709991,293.320007,288.589996,290.480011,288.054260,121841200
2020-05-01,285.309998,290.660004,281.519989,282.790009,280.428467,125180000
2020-05-04,280.739990,283.899994,279.130005,283.570007,281.201965,80873200
2020-05-05,286.640015,289.250000,283.709991,286.190002,283.800079,79569900
2020-05-06,288.040009,288.459991,283.779999,284.250000,281.876282,73632600
2020-05-07,287.750000,289.779999,287.130005,287.679993,285.277618,75250400
2020-05-08,291.089996,292.950012,289.859985,292.440002,289.997894,76622100
2020-05-11,290.339996,294.000000,289.880005,292.500000,290.057373,79030200
2020-05-12,293.790009,294.239990,286.519989,286.670013,284.276093,95870800
2020-05-13,286.059998,287.190002,278.959991,281.600006,279.248413,144721100
2020-05-14,278.950012,285.109985,272.989990,284.970001,282.590271,121977900
2020-05-15,282.369995,286.329987,281.339996,286.279999,283.889343,111146300
2020-05-18,293.049988,296.750000,292.700012,295.000000,292.536499,120320200
2020-05-19,294.350006,296.209991,291.950012,291.970001,289.531799,95189300
2020-05-20,295.820007,297.869995,295.570007,296.929993,294.450378,85861700
2020-05-21,296.790009,297.670013,293.690002,294.880005,292.417511,78293900
2020-05-22,294.570007,295.630005,293.220001,295.440002,292.972839,63958200
2020-05-26,301.929993,302.190002,295.459991,299.079987,296.582397,88951400
2020-05-27,302.119995,303.570007,296.869995,303.529999,300.995270,104817400
2020-05-28,304.649994,306.839996,302.239990,302.970001,300.439941,90405200
2020-05-29,302.459991,304.959991,299.470001,304.320007,301.778687,119265700
2020-06-01,303.619995,306.209991,303.059998,305.549988,302.998383,55758300
2020-06-02,306.549988,308.130005,305.100006,308.079987,305.507233,74267200
2020-06-03,310.239990,313.220001,309.940002,312.179993,309.573029,92567600
2020-06-04,311.109985,313.000000,309.079987,311.359985,308.759857,75794400
2020-06-05,317.230011,321.269989,317.160004,319.339996,316.673218,150524700
2020-06-08,320.220001,323.410004,319.630005,323.200012,320.501007,73641200
2020-06-09,320.299988,323.279999,319.359985,320.790009,318.111145,77479200
2020-06-10,321.420013,322.390015,318.220001,319.000000,316.336090,95000800
2020-06-11,311.459991,312.149994,300.010010,300.609985,298.099640,209243600
2020-06-12,308.239990,309.079987,298.600006,304.209991,301.669586,194529100
2020-06-15,298.019989,308.279999,296.739990,307.049988,304.485870,135782700
2020-06-16,315.480011,315.640015,307.670013,312.959991,310.346527,137627500
2020-06-17,314.070007,314.390015,310.859985,311.660004,309.057373,82954600
2020-06-18,310.010010,312.299988,309.510010,311.779999,309.176361,80828700
2020-06-19,314.170013,314.380005,306.529999,308.640015,307.409454,135549600
2020-06-22,307.989990,311.049988,306.750000,310.619995,309.381561,74649400
2020-06-23,313.489990,314.500000,311.609985,312.049988,310.805847,68471200
2020-06-24,309.839996,310.510010,302.100006,304.089996,302.877594,132813500
2020-06-25,303.470001,307.640015,301.279999,307.350006,306.124603,89468000
2020-06-26,306.160004,306.390015,299.420013,300.049988,298.853699,127961000
2020-06-29,301.410004,304.609985,298.929993,304.459991,303.246094,79773300
2020-06-30,303.989990,310.200012,303.820007,308.359985,307.130554,113394800
2020-07-01,309.570007,311.890015,309.070007,310.519989,309.281952,72396500
2020-07-02,314.239990,315.700012,311.510010,312.230011,310.985138,69344200
2020-07-06,316.369995,317.679993,315.559998,317.049988,315.785919,61713800
2020-07-07,315.380005,317.519989,313.369995,313.779999,312.528961,82910000
2020-07-08,314.609985,316.299988,312.700012,316.179993,314.919373,54638600
2020-07-09,316.839996,317.100006,310.679993,314.380005,313.126556,83354200
2020-07-10,314.309998,317.880005,312.760010,317.589996,316.323761,57550400
2020-07-13,320.130005,322.709991,314.130005,314.839996,313.584717,102997500
2020-07-14,313.299988,319.760010,312.000000,318.920013,317.648468,93657000
2020-07-15,322.410004,323.040009,319.269989,321.850006,320.566772,87196500
2020-07-16,319.790009,321.279999,319.089996,320.790009,319.511017,54622500
2020-07-17,321.880005,322.570007,319.739990,321.720001,320.437286,62774900
2020-07-20,321.429993,325.130005,320.619995,324.320007,323.026947,56308800
2020-07-21,326.450012,326.929993,323.940002,325.010010,323.714203,57499000
2020-07-22,324.619995,327.200012,324.500000,326.859985,325.556793,57792900
2020-07-23,326.470001,327.230011,321.480011,322.959991,321.672333,75738000
2020-07-24,320.950012,321.989990,319.250000,320.880005,319.600647,73766600
2020-07-27,321.630005,323.410004,320.769989,323.220001,321.931305,48293000
2020-07-28,322.429993,323.640015,320.850006,321.170013,319.889496,57495000
2020-07-29,322.119995,325.730011,322.079987,325.119995,323.823730,48454200
2020-07-30,321.899994,324.410004,319.640015,323.959991,322.668365,61861700
2020-07-31,325.899994,326.630005,321.329987,326.519989,325.218140,85210800
2020-08-03,328.320007,329.619995,327.730011,328.790009,327.479126,53077900
2020-08-04,327.859985,330.059998,327.859985,330.059998,328.744049,41917900
2020-08-05,331.470001,332.390015,331.179993,332.109985,330.785858,42866400
2020-08-06,331.480011,334.459991,331.130005,334.329987,332.997009,43679400
2020-08-07,333.279999,334.880005,332.299988,334.570007,333.236084,57265200
2020-08-10,335.059998,335.769989,332.959991,335.570007,334.232086,44282100
2020-08-11,336.850006,337.540009,332.010010,332.799988,331.473114,69601100
2020-08-12,335.440002,338.279999,335.410004,337.440002,336.094635,53826100
2020-08-13,336.609985,338.250000,335.829987,336.829987,335.487030,41816100
2020-08-14,336.410004,337.420013,335.619995,336.839996,335.497009,47260400
2020-08-17,337.940002,338.339996,336.850006,337.910004,336.562744,35481000
2020-08-18,338.339996,339.100006,336.609985,338.640015,337.289856,38733900
2020-08-19,339.049988,339.609985,336.619995,337.230011,335.885468,68054200
2020-08-20,335.359985,338.799988,335.220001,338.279999,336.931274,42207800
2020-08-21,337.920013,339.720001,337.549988,339.480011,338.126495,55106600
2020-08-24,342.119995,343.000000,339.450012,342.920013,341.552795,48588700
2020-08-25,343.529999,344.209991,342.269989,344.119995,342.747986,38463400
2020-08-26,344.760010,347.859985,344.170013,347.570007,346.184235,50790200
2020-08-27,348.510010,349.899994,346.529999,348.329987,346.941193,58034100
2020-08-28,349.440002,350.720001,348.149994,350.579987,349.182220,48588900
